Class,Guard,Average_Score,Season_High,Events_Count
Independent A,St. Anns,77.31,77.31,1
Independent A,Sonnor,74.45,74.45,1
Independent A,University of South Alabama WG,74.26,74.26,1
Independent A,Old Line Independent Color Guard,72.38,72.38,1
Independent A,Sacred Heart University Winter Guard,72.15,72.15,1
Independent A,Piedmont Independent,71.0,71.0,1
Independent A,New Hartford,70.51,70.51,1
Independent A,University of Missouri's Ionic Winter Guard,69.82,69.82,1
Independent A,Seven Lakes,69.65,69.65,1
Independent A,Rangerettes,69.45,69.45,1
Independent A,DTX Independent,68.83,68.83,1
Independent A,Westshoremen,68.06,68.06,1
Independent A,University of Connecticut Winter Guard,67.46,67.46,1
Independent A,Carteret Collective Winter Guard,67.21,67.21,1
Independent A,Amherst Independent,67.12,67.12,1
Independent A,Zodiac Independent,66.49,66.49,1
Independent A,Carolina Visual Productions,65.85,65.85,1
Independent A,Ember Independent,65.11,65.11,1
Independent A,Awaken Independent,64.94,64.94,1
Independent A,Avant Guard from the University of Arkansas,64.82,64.82,1
Independent A,901 Performance Ensemble from Missouri State,64.68,64.68,1
Independent A,Redemption Guard,64.57,64.57,1
Independent A,Revolutionary WinterGuard,64.31,64.31,1
Independent A,River City Rhythm Winter Guard,64.24,64.24,1
Independent A,Slippery Rock Independent,63.49,63.49,1
Independent A,NC State Winterguard,61.68,61.68,1
Independent A,Andesine of Central Missouri,61.57,61.57,1
Independent A,ICT Independent,60.93,60.93,1
Independent A,Northwest Missouri State Bearcat Winter Guard,57.32,57.32,1
Independent Open,First Flight,81.5,81.5,1
Independent Open,ORIGINS Open,81.3,81.3,1
Independent Open,NOVA Independent Winterguard,78.5,78.5,1
Independent Open,Noir Independent,77.1,77.1,1
Independent Open,Blessed Sacrament,74.2,74.2,1
Independent Open,Undaunted,74.1,74.1,1
Independent Open,The Brigadiers,71.4,71.4,1
Independent Open,Industry Independent,71.0,71.0,1
Independent Open,Main Line Independent,69.9,69.9,1
Independent Open,National Avenue from Missouri State University,68.6,68.6,1
