Class,Guard,Average_Score,Season_High,Events_Count
Independent A,Relentless,87.27,87.68,2
Independent A,Pacificaires,86.67,88.9,2
Independent A,"University of Nevada, Reno Winter Guard",85.02,87.19,2
Independent A,Opus Independent,84.83,86.175,2
Independent A,Homage Independent,84.18,86.235,2
Independent A,Sacred Heart University Winter Guard,83.98,86.985,2
Independent A,Purdue University,83.8,89.0,2
Independent A,Pegasus A,82.78,82.78,1
Independent A,Zephyrus,82.18,83.44,2
Independent A,White & Gold Winterguard from Georgia Tech,82.17,84.145,2
Independent A,Elan Winterguard,81.61,83.595,3
Independent A,National Avenue from Missouri State University,81.53,83.91,2
Independent A,Beau Monde Independent,81.41,82.795,2
Independent A,Vox Artium A,81.32,83.94,2
Independent A,Anesidora A,80.95,80.95,1
Independent A,Sonnor,80.76,85.05,2
Independent A,Allegiance A,80.41,82.305,2
Independent A,Maharlika,80.19,83.02,3
Independent A,St. Anns,79.79,83.235,2
Independent A,Crescent City Color Guard,79.14,83.08,2
Independent A,Caledonia Independent,79.08,80.57,2
Independent A,Allure Independent (TX),79.04,79.04,1
Independent A,River City Rhythm Winter Guard,78.99,78.99,1
Independent A,Rangerettes,78.82,82.16,2
Independent A,University of Nebraska Omaha,78.82,78.82,1
Independent A,Westshoremen,78.77,79.615,2
Independent A,RGV Winter Guard,78.56,81.05,2
Independent A,Salt Lake Independent A,78.03,78.03,1
Independent A,JMU Nuance A,78.0,83.125,3
Independent A,Eagle Mountain Independent,77.84,84.69,2
Independent A,Seven Lakes,77.73,80.45,2
Independent A,Rhapsody,77.73,77.73,1
Independent A,Collage A,77.48,80.42,2
Independent A,Avant Guard from the University of Arkansas,77.43,77.43,1
Independent A,Old Line Independent Color Guard,77.34,77.34,1
Independent A,Edge Independent A,77.18,77.18,1
Independent A,Winter Star,77.0,79.08,2
Independent A,San Diego State University Aztec Winter Guard,76.98,81.255,3
Independent A,Pegasus Independent (NJ),76.64,76.635,1
Independent A,Meridian Independent,76.58,76.58,1
Independent A,Oasis,76.45,76.45,1
Independent A,Indiana University,76.37,78.71,3
Independent A,Sacramento State Winter Guard,76.25,76.25,1
Independent A,Forest Hills,76.08,76.08,1
Independent A,Cascadia Winterguard,75.52,75.67,2
Independent A,Gates Chili Independent A,75.1,80.52,2
Independent A,Malachi A,75.09,75.09,1
Independent A,Redemption Guard,74.97,80.615,3
Independent A,EPIC A,74.37,76.38,2
Independent A,University of Missouri's Ionic Winter Guard,74.32,75.86,2
Independent A,FIG Independent,74.15,74.15,1
Independent A,SUU Independent,73.89,73.89,1
Independent A,Andesine of Central Missouri,73.6,76.92,2
Independent A,Memphis Winter Guard,73.25,73.25,1
Independent A,Free State Independent,73.19,75.54,2
Independent A,Infinite Flight from University of the Incarnate Word,72.59,72.59,1
Independent A,Remedy Independent,72.35,72.35,1
Independent A,University of South Alabama WG,72.17,72.17,1
Independent A,El Ritmo Winter Guard,72.1,72.1,1
